Device_ID,W,L,length,width,N,nm,hop,SOC,E,energy,Transmission,Average-LDOS,M(E)
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.748,0.946835443037975,15.7592845724261,0.723347546601238,56
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.756,0.956962025316456,16.5477383698643,0.763969091394654,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.763,0.965822784810127,16.8315308717904,0.778219554186653,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.771,0.975949367088608,17.0113309225408,0.803996092713763,60
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.778,0.984810126582279,17.4560067805637,0.858004811694292,66
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.786,0.99493670886076,18.2626973136879,0.90387434824949,70
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.793,1.00379746835443,19.1199166212492,0.915271594593434,72
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.801,1.01392405063291,19.5135611087023,0.904261936770636,72
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.808,1.02278481012658,19.5833770717423,0.896391727706038,72
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.816,1.03291139240506,19.579282099644,0.821953953466239,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.823,1.04177215189873,19.7038634945679,0.803150614713923,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.831,1.05189873417722,19.800704379312,0.79840753205886,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.838,1.06075949367089,19.8568228098392,0.800717729459983,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.846,1.07088607594937,19.8837111212702,0.799155550988428,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.853,1.07974683544304,19.9032889544759,0.787673608703961,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.861,1.08987341772152,19.913784386451,0.764208313901229,68
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,0.868,1.09873417721519,19.7429511032699,0.716078834398189,64
